Geographic Area,2010,2011,2012,2013,2014,2015,2016
.Nevada,"27,03,284","27,18,379","27,52,565","27,86,464","28,33,013","28,83,758","29,40,058"
.New Hampshire,"13,16,872","13,18,473","13,21,182","13,22,687","13,28,743","13,30,111","13,34,795"
.New Jersey,"88,03,729","88,41,243","88,73,211","88,99,162","89,25,001","89,35,421","89,44,469"
.New Mexico,"20,64,756","20,77,756","20,83,784","20,85,193","20,83,024","20,80,328","20,81,015"
New York,"1,94,02,640","1,95,19,529","1,96,02,769","1,96,73,546","1,97,18,515","1,97,47,183","1,97,45,289"
.North Carolina,"95,58,915","96,50,963","97,46,175","98,41,590","99,34,399","1,00,35,186","1,01,46,788"
.North Dakota,"6,74,526","6,85,476","7,02,087","7,24,019","7,39,904","7,56,835","7,57,952"
.Ohio,"1,15,40,983","1,15,44,824","1,15,50,839","1,15,70,022","1,15,94,408","1,16,05,090","1,16,14,373"
.Oklahoma,"37,59,603","37,86,274","38,17,054","38,52,415","38,77,499","39,07,414","39,23,561"
.Oregon,"38,38,048","38,68,031","38,99,116","39,25,751","39,68,371","40,24,634","40,93,465"
.Pennsylvania,"1,27,12,343","1,27,44,293","1,27,71,854","1,27,81,338","1,27,90,565","1,27,91,904","1,27,84,227"
.Rhode Island,"10,53,337","10,52,451","10,52,901","10,53,033","10,54,480","10,55,607","10,56,426"
.South Carolina,"46,35,943","46,72,637","47,20,760","47,67,894","48,28,430","48,94,834","49,61,119"
.South Dakota,"8,16,325","8,24,398","8,34,441","8,44,922","8,52,561","8,57,919","8,65,454"
.Tennessee,"63,56,671","63,97,634","64,54,306","64,94,821","65,44,663","65,95,056","66,51,194"
.Texas,"2,52,44,310","2,56,46,389","2,60,71,655","2,64,73,525","2,69,44,751","2,74,29,639","2,78,62,596"
.Utah,"27,75,326","28,16,124","28,55,782","29,02,663","29,41,836","29,90,632","30,51,217"
.Vermont,"6,25,982","6,26,730","6,26,444","6,27,140","6,26,984","6,26,088","6,24,594"
.Virginia,"80,25,773","81,10,035","81,92,048","82,62,692","83,17,372","83,67,587","84,11,808"
.Washington,"67,43,226","68,22,520","68,95,226","69,68,006","70,54,196","71,60,290","72,88,000"
.West Virginia,"18,54,230","18,54,972","18,56,560","18,53,231","18,48,514","18,41,053","18,31,102"
.Wisconsin,"56,90,263","57,09,640","57,26,177","57,42,854","57,58,377","57,67,891","57,78,708"
.Wyoming,"5,64,513","5,67,725","5,76,765","5,82,684","5,83,642","5,86,555","5,85,501"
,,,,,,,
Puerto Rico,"37,21,525","36,78,732","36,34,488","35,93,077","35,34,874","34,73,181","34,11,307"
